iter	Passed	Remaining
1229	17133	52513
1230	17146	52496
1231	17159	52482
1232	17173	52466
1233	17185	52446
1234	17199	52432
1235	17210	52411
1236	17222	52392
1237	17233	52369
1238	17245	52348
1239	17257	52329
1240	17269	52310
1241	17281	52290
1242	17294	52272
1243	17305	52249
1244	17317	52230
1245	17331	52217
1246	17344	52200
1247	17357	52182
1248	17370	52167
1249	17385	52157
1250	17409	52172
1251	17423	52160
1252	17437	52145
1253	17448	52123
1254	17461	52104
1255	17473	52086
1256	17485	52067
1257	17498	52049
1258	17510	52030
1259	17523	52015
1260	17536	51996
1261	17547	51976
1262	17559	51956
1263	17571	51935
1264	17584	51919
1265	17597	51901
1266	17609	51883
1267	17621	51863
1268	17634	51845
1269	17645	51825
1270	17658	51807
1271	17669	51786
1272	17684	51774
1273	17696	51755
1274	17709	51740
1275	17722	51723
1276	17734	51703
1277	17747	51687
1278	17759	51668
1279	17771	51649
1280	17784	51632
1281	17796	51611
1282	17809	51594
1283	17820	51573
1284	17832	51555
1285	17844	51534
1286	17857	51517
1287	17869	51500
1288	17882	51484
1289	17894	51464
1290	17907	51447
1291	17919	51427
1292	17930	51407
1293	17943	51390
1294	17955	51370
1295	17967	51352
1296	17980	51334
1297	17993	51318
1298	18006	51303
1299	18019	51287
1300	18032	51270
1301	18044	51249
1302	18056	51230
1303	18069	51214
1304	18081	51196
1305	18094	51179
1306	18104	51156
1307	18116	51136
1308	18128	51117
1309	18140	51098
1310	18152	51078
1311	18163	51058
1312	18176	51040
1313	18186	51017
1314	18198	50997
1315	18210	50978
1316	18222	50958
1317	18233	50938
1318	18245	50918
1319	18257	50899
1320	18269	50880
1321	18281	50860
1322	18294	50844
1323	18306	50826
1324	18319	50811
1325	18331	50792
1326	18343	50772
1327	18355	50752
1328	18367	50736
1329	18384	50730
1330	18399	50718
1331	18412	50702
1332	18424	50684
1333	18436	50666
1334	18449	50648
1335	18461	50629
1336	18473	50611
1337	18485	50593
1338	18498	50577
1339	18511	50561
1340	18524	50545
1341	18536	50525
1342	18548	50506
1343	18561	50491
1344	18574	50476
1345	18587	50460
1346	18601	50445
1347	18613	50428
1348	18625	50408
1349	18638	50392
1350	18650	50374
1351	18663	50357
1352	18676	50341
1353	18688	50324
1354	18702	50309
1355	18714	50292
1356	18726	50273
1357	18740	50258
1358	18751	50239
1359	18764	50222
1360	18776	50203
1361	18787	50182
1362	18798	50162
1363	18810	50142
1364	18822	50123
1365	18834	50105
1366	18846	50086
1367	18857	50065
1368	18869	50047
1369	18882	50031
1370	18895	50015
1371	18907	49996
1372	18918	49977
1373	18930	49956
1374	18942	49939
1375	18954	49920
1376	18967	49904
1377	18978	49884
1378	18991	49867
1379	19003	49849
1380	19015	49830
1381	19026	49811
1382	19039	49793
1383	19050	49773
1384	19061	49753
1385	19074	49735
1386	19085	49715
1387	19097	49696
1388	19108	49677
1389	19121	49661
1390	19134	49645
1391	19146	49627
1392	19157	49607
1393	19170	49589
1394	19182	49571
1395	19194	49553
1396	19206	49535
1397	19218	49517
1398	19230	49498
1399	19241	49478
1400	19253	49460
1401	19266	49443
1402	19277	49424
1403	19289	49404
1404	19300	49384
1405	19312	49367
1406	19324	49347
1407	19336	49330
1408	19348	49311
1409	19360	49293
1410	19377	49289
1411	19395	49284
1412	19408	49271
1413	19421	49253
1414	19433	49235
1415	19446	49219
1416	19458	49203
1417	19470	49183
1418	19482	49165
1419	19495	49150
1420	19507	49132
1421	19518	49112
1422	19530	49094
1423	19542	49075
1424	19554	49057
1425	19567	49042
1426	19580	49027
1427	19593	49010
1428	19606	48994
1429	19617	48975
1430	19630	48959
1431	19642	48941
1432	19654	48923
1433	19667	48907
1434	19680	48893
1435	19694	48879
1436	19707	48864
1437	19719	48845
1438	19731	48828
1439	19742	48807
